City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hilo,US,89.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Caravelas,BR,75.27,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
19,Kavieng,PG,83.41,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
20,Sao Gabriel Da Cachoeira,BR,75.81,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
21,Gushikawa,JP,81.63,broken clouds,26.3544,127.8686,Kirari Guest House
25,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
32,Janauba,BR,77.86,overcast clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
35,Atuona,PF,76.86,clear sky,-9.8,-139.0333,Villa Enata
39,Nanakuli,US,87.17,clear sky,21.3906,-158.1547,Camp Pālehua
46,Orange Cove,US,84.61,clear sky,36.6244,-119.3137,
48,Ganzhou,CN,76.3,clear sky,28.8184,115.4327,Zhanqian Grand Hotel
63,Kapaa,US,87.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Victoria,HK,78.94,overcast clouds,22.2855,114.1577,Mini Central
67,Laguna,US,78.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
68,Buala,SB,83.77,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
70,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
71,Santo Antonio Do Ica,BR,75.24,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
72,Eyl,SO,77.07,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
73,Tevaitoa,PF,79.77,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
75,Ranong,TH,76.93,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
79,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
85,Codajas,BR,78.22,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
86,Matamoros,MX,78.91,scattered clouds,25.5333,-103.25,Quinta Belem
89,Coahuayana,MX,75.22,light rain,18.7333,-103.6833,El rranchito michuacan de ocampos
92,Saint George,US,78.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
95,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
98,Bambanglipuro,ID,80.22,overcast clouds,-7.95,110.2833,Puri Brata
101,Isangel,VU,77.45,overcast clouds,-19.55,169.2667,Tanna Lodge
102,Olinda,BR,77.18,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
106,Poya,NC,79.56,overcast clouds,-21.35,165.15,
123,Butaritari,KI,81.25,clear sky,3.0707,172.7902,Isles Sunset Lodge
126,Hobyo,SO,77.81,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
130,Port Blair,IN,77.04,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
133,Acarau,BR,78.46,scattered clouds,-2.8856,-40.12,castelo pizzaria
134,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
145,Sitio Novo Do Tocantins,BR,79.66,scattered clouds,-5.5183,-47.4611,Imperial Hotel
155,Cockburn Town,TC,83.03,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
160,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
170,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
171,Sun City,US,85.35,few clouds,33.5975,-112.2718,Days Hotel by Wyndham Peoria Glendale Area
178,Bonthe,SL,76.1,moderate rain,7.5264,-12.505,Bonthe Holiday Village
179,Riberalta,BO,82.51,overcast clouds,-10.9833,-66.1,Hotel Colonial
187,Vila Velha,BR,75.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
192,Dingle,PH,84.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
199,Karratha,AU,82.11,clear sky,-20.7377,116.8463,ibis Styles Karratha
204,Bengkulu,ID,77.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
205,Pokaran,IN,75.2,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
207,Hays,US,76.06,clear sky,30.0502,-98.0336,CHAPEL HOME
209,Gladstone,AU,76.78,broken clouds,-23.85,151.25,Highpoint International Hotel
212,Meulaboh,ID,76.15,overcast clouds,4.1363,96.1285,Kost Pria
218,Tabuk,PH,80.51,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
