City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,56.97,76,61,3.71,AU,2022-10-20 23:12:45
1,Mataura,-46.1927,168.8643,50.14,41,71,5.91,NZ,2022-10-20 23:17:10
2,Hilo,19.7297,-155.09,88.29,70,0,12.66,US,2022-10-20 23:14:34
3,Diffa,13.3154,12.6113,84.79,21,92,8.41,NE,2022-10-20 23:17:11
4,Hermanus,-34.4187,19.2345,56.66,85,68,9.55,ZA,2022-10-20 23:17:12
5,Arraial Do Cabo,-22.9661,-42.0278,73.18,86,7,31.27,BR,2022-10-20 23:17:13
6,Badou,7.5833,0.6,72.75,85,68,2.46,TG,2022-10-20 23:17:14
7,Salinopolis,-0.6136,-47.3561,81.21,79,46,13.04,BR,2022-10-20 23:17:14
8,Namibe,-15.1961,12.1522,66.87,81,77,5.48,AO,2022-10-20 23:17:15
9,Punta Arenas,-53.15,-70.9167,42.91,65,20,37.98,CL,2022-10-20 23:17:15
10,Airai,-8.9266,125.4092,67.21,75,84,1.48,TL,2022-10-20 23:17:16
11,Sisimiut,66.9395,-53.6735,27.52,60,100,8.9,GL,2022-10-20 23:17:17
12,East London,-33.0153,27.9116,66.15,82,85,5.17,ZA,2022-10-20 23:17:17
13,Sarh,9.1429,18.3923,75.87,71,93,4.81,TD,2022-10-20 23:17:18
14,Albany,42.6001,-73.9662,50.41,54,26,5.14,US,2022-10-20 23:14:43
15,Adrar,20.5022,-10.0711,88.5,15,48,6.29,MR,2022-10-20 23:12:50
16,Atambua,-9.1061,124.8925,79.48,74,80,1.72,ID,2022-10-20 23:17:19
17,Hervey Bay,-25.2986,152.8535,72.75,83,27,10.38,AU,2022-10-20 23:17:20
18,Norman Wells,65.282,-126.8329,28.44,80,75,10.36,CA,2022-10-20 23:17:21
19,Broken Hill,-31.95,141.4333,66.4,74,50,9.22,AU,2022-10-20 23:17:21
20,Rikitea,-23.1203,-134.9692,70.63,74,82,22.62,PF,2022-10-20 23:17:22
21,Kaitangata,-46.2817,169.8464,49.71,47,97,9.73,NZ,2022-10-20 23:17:23
22,Sioux Lookout,50.1001,-91.917,42.87,65,75,6.91,CA,2022-10-20 23:15:29
23,Ust-Ilimsk,58.0006,102.6619,31.66,81,100,5.59,RU,2022-10-20 23:14:03
24,Kapaa,22.0752,-159.319,77.09,73,100,11.5,US,2022-10-20 23:17:24
25,Inta,66.0317,60.1659,30.9,93,100,10.27,RU,2022-10-20 23:17:25
26,Cape Town,-33.9258,18.4232,61.27,80,72,5.99,ZA,2022-10-20 23:15:00
27,Guerrero Negro,27.9769,-114.0611,78.31,61,1,12.06,MX,2022-10-20 23:17:26
28,Damaturu,11.747,11.9608,81.41,26,45,3.85,NG,2022-10-20 23:17:27
29,Saskylakh,71.9167,114.0833,13.87,96,95,5.91,RU,2022-10-20 23:17:28
30,Acapulco,16.8634,-99.8901,75.63,91,100,4.83,MX,2022-10-20 23:15:03
31,Mar Del Plata,-38.0023,-57.5575,62.62,93,75,5.99,AR,2022-10-20 23:17:08
32,Ushuaia,-54.8,-68.3,44.22,61,20,25.32,AR,2022-10-20 23:15:47
